Frame         Time          Elec          VdW           Nonbond       Total         
523           523           -310.732      -67.761       -378.493      -378.493      
524           524           -295.881      -70.5426      -366.424      -366.424      
525           525           -298.114      -71.8407      -369.955      -369.955      
526           526           -317.04       -70.1968      -387.237      -387.237      
527           527           -301.395      -68.6348      -370.029      -370.029      
528           528           -312.148      -68.6029      -380.751      -380.751      
529           529           -306.956      -73.4738      -380.43       -380.43       
530           530           -320.373      -67.438       -387.811      -387.811      
531           531           -304.28       -72.1978      -376.478      -376.478      
532           532           -321.792      -71.8498      -393.642      -393.642      
533           533           -303.459      -70.7937      -374.253      -374.253      
534           534           -323.188      -71.0916      -394.279      -394.279      
